Country,Year,Happiness Score,GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Corruption
Jamaica,2022,5.870189189910889,9.198162078857422,0.8680406808853149,66.5999984741211,0.8742675185203552,-0.08759897947311401,0.9096440672874451
Italy,2022,6.258476734161377,10.685420036315918,0.8693636059761047,72.125,0.710519015789032,0.028278332203626633,0.8187083005905151
Kenya,2022,4.447946548461914,8.499298095703125,0.6905949711799622,58.900001525878906,0.705976128578186,0.294315904378891,0.8777757287025452
Chile,2022,6.415198802947998,10.153562545776367,0.8867619633674622,70.44999694824219,0.7934855818748474,-0.010977616533637047,0.7963963747024536
Kosovo,2022,6.159853458404541,9.415708541870117,0.8876391053199768,,0.8648658990859985,0.2111520767211914,0.8459503054618835
Kazakhstan,2022,6.006279468536377,10.186872482299805,0.923373281955719,66.19999694824219,0.8829379677772522,0.022408289834856987,0.7201685309410095
Colombia,2022,5.891712188720703,9.659547805786133,0.8769494295120239,69.5250015258789,0.7991837859153748,-0.16180722415447235,0.8626412153244019
Venezuela,2022,5.9489922523498535,,0.8993663191795349,63.875,0.7704167366027832,,0.7980164289474487
Japan,2022,6.178009986877441,10.636161804199219,0.8986499309539795,74.4749984741211,0.7888569831848145,-0.2354891449213028,0.6430096626281738
Sweden,2022,7.431214332580566,10.9126615524292,0.949338436126709,72.2750015258789,0.9394619464874268,0.2340112179517746,0.21323634684085846
Ivory Coast,2022,4.8486738204956055,8.611810684204102,0.536297082901001,56.525001525878906,0.7133498191833496,-0.005134096369147301,0.7428398728370667
Jordan,2022,4.355606555938721,9.134369850158691,0.774262011051178,67.5999984741211,0.7594186663627625,-0.15294498205184937,0.7145845890045166
Israel,2022,7.662397384643555,10.692273139953613,0.9536527395248413,72.8499984741211,0.7749474048614502,-0.004873357247561216,0.6546988487243652
Ireland,2022,6.869863986968994,11.624914169311523,0.9060792922973633,71.4000015258789,0.8950095176696777,0.14026425778865814,0.3578122556209564
Germany,2022,6.608206748962402,10.898526191711426,0.9158080220222473,71.5,0.8952218890190125,0.08092411607503891,0.41657716035842896
Georgia,2022,5.292755126953125,9.746482849121094,0.7544909715652466,65.07499694824219,0.8209031820297241,-0.2528522312641144,0.6551721096038818
Gambia,2022,4.2794413566589355,7.6478166580200195,0.5876962542533875,57.900001525878906,0.5990874171257019,0.3642035126686096,0.883752167224884
Czechia,2022,6.695077419281006,10.656307220458984,0.9436010122299194,69.17500305175781,0.907834529876709,0.09391741454601288,0.8310014605522156
Gabon,2022,5.139500617980957,9.539199829101562,0.7752477526664734,58.57500076293945,0.6992760300636292,-0.16436561942100525,0.8027749061584473
France,2022,6.61380672454834,10.736878395080566,0.8655146360397339,72.4000015258789,0.798249363899231,-0.024987714365124702,0.5327767133712769
Cyprus,2022,5.8647565841674805,,0.8195474743843079,73.0,0.6984071135520935,,0.8873282670974731
United States,2022,6.6927900314331055,11.078596115112305,0.9002618193626404,65.7249984741211,0.7356398105621338,0.1905810534954071,0.7011275291442871
Finland,2022,7.728998184204102,10.814192771911621,0.9743951559066772,71.2249984741211,0.9586091041564941,0.10214736312627792,0.19020669162273407
Ethiopia,2022,3.6280715465545654,7.757498741149902,0.7401676177978516,61.099998474121094,0.673658549785614,0.3612450957298279,0.7931052446365356
Estonia,2022,6.357114315032959,10.5713529586792,0.9333325028419495,69.875,0.9039506912231445,0.13574182987213135,0.3903009295463562
Dominican Republic,2022,5.518415927886963,9.873703002929688,0.8204224705696106,64.5999984741211,0.8533018827438354,-0.08381902426481247,0.6559762358665466
El Salvador,2022,6.492156028747559,9.134880065917969,0.7723808288574219,65.94999694824219,0.9140632748603821,-0.112227663397789,0.6210974454879761
Egypt,2022,4.023561000823975,9.403931617736816,0.7692161202430725,63.75,0.732525110244751,-0.20773449540138245,
Denmark,2022,7.544964790344238,10.994298934936523,0.9703063368797302,71.375,0.9295474886894226,0.2241153120994568,0.2031404972076416
Comoros,2022,3.545203685760498,8.074591636657715,0.4718209207057953,59.42499923706055,0.4805535674095154,-0.014281230978667736,0.7323108315467834
Ghana,2022,4.190854549407959,8.615270614624023,0.6281613111495972,59.125,0.7864399552345276,0.11722172051668167,0.9088888764381409
Greece,2022,5.900459289550781,10.363692283630371,0.8753129839897156,71.2750015258789,0.5625561475753784,-0.3164249658584595,0.8742860555648804
Ukraine,2022,4.637436389923096,9.04932975769043,0.8630681037902832,64.67500305175781,0.8290343880653381,0.4275822341442108,0.8518630266189575
Congo (Brazzaville),2022,5.8049187660217285,8.07715129852295,0.6463450789451599,57.17499923706055,0.6976944804191589,0.027624206617474556,0.7597540616989136
Iran,2022,4.976995468139648,9.637630462646484,0.8000702857971191,66.75,0.5702034831047058,0.2116532176733017,0.7660799026489258
Indonesia,2022,5.584685802459717,9.425395965576172,0.8340766429901123,63.17499923706055,0.9032506942749023,0.5188231468200684,0.8617085218429565
Congo (Kinshasa),2022,3.2071967124938965,7.00667142868042,0.654081404209137,55.375,0.6641011238098145,0.08599790185689926,0.8356408476829529
India,2022,3.929816246032715,8.84992504119873,0.6080451011657715,61.20000076293945,0.8931310176849365,0.08950212597846985,0.7707419991493225
United Kingdom,2022,6.721779823303223,10.753742218017578,0.8634395003318787,70.4000015258789,0.857062578201294,0.3093941807746887,0.42605480551719666
Iceland,2022,7.448794364929199,10.935111999511719,0.9848011136054993,72.07499694824219,0.9356690049171448,0.22191058099269867,0.6924341320991516
Costa Rica,2022,7.076658248901367,9.99783706665039,0.901608407497406,70.0,0.9100263118743896,-0.04700203239917755,0.750560998916626
Hungary,2022,5.861183166503906,10.484207153320312,0.9370588660240173,67.6500015258789,0.7755020260810852,-0.008475152775645256,0.8482493758201599
Guinea,2022,5.317492961883545,7.899697303771973,0.5820174217224121,54.650001525878906,0.7292320728302002,0.13916288316249847,0.7703503966331482
Uzbekistan,2022,6.016238689422607,8.989866256713867,0.8789232969284058,65.5999984741211,0.9590192437171936,0.3089507520198822,0.6158444285392761
Guatemala,2022,6.150331497192383,9.11570930480957,0.8060163855552673,62.900001525878906,0.8561434745788574,-0.05726039409637451,0.8353723883628845
Croatia,2022,5.578691482543945,10.458263397216797,0.9099843502044678,69.125,0.593485951423645,-0.2126668393611908,0.875081479549408
United Arab Emirates,2022,6.737605571746826,11.201817512512207,0.7977370619773865,66.44999694824219,0.9322956800460815,0.17080171406269073,
Honduras,2022,5.9318037033081055,8.644883155822754,0.7286148071289062,64.2750015258789,0.8511993885040283,0.08125922828912735,0.83424973487854
Cambodia,2022,4.250280857086182,8.414617538452148,0.7836018800735474,62.099998474121094,0.9462440609931946,0.15409429371356964,0.85968416929245
New Zealand,2022,6.974986553192139,10.681693077087402,0.9555888175964355,70.42500305175781,0.83067786693573,0.1867235004901886,0.28052443265914917
Paraguay,2022,6.1376118659973145,9.508264541625977,0.8994913697242737,65.94999694824219,0.921780526638031,-0.011156130582094193,0.8392720222473145
Panama,2022,5.979382038116455,10.333454132080078,0.8910459280014038,69.0,0.8993285298347473,-0.12066079676151276,0.8868353366851807
Bangladesh,2022,3.407532215118408,8.743256568908691,0.4037075340747833,64.67500305175781,0.8645762801170349,-0.05477607622742653,0.6168723702430725
Norway,2022,7.294604301452637,11.111295700073242,0.9265713095664978,71.55000305175781,0.9390228390693665,0.18459457159042358,0.31444209814071655
North Macedonia,2022,5.166881561279297,9.73342514038086,0.8495093584060669,66.69999694824219,0.7230889797210693,0.07188651710748672,0.9372150897979736
Belgium,2022,6.856874465942383,10.878268241882324,0.9227327108383179,71.05000305175781,0.8898890018463135,0.09694399684667587,0.4833844304084778
Tanzania,2022,3.615845203399658,7.871555328369141,0.600180983543396,59.849998474121094,0.8561398983001709,0.13604161143302917,0.5844170451164246
Peru,2022,5.892068862915039,9.448805809020996,0.8227434754371643,70.0250015258789,0.764267086982727,-0.17756520211696625,0.8839914202690125
Niger,2022,4.501331329345703,7.0909833908081055,0.5869304537773132,56.54999923706055,0.7925747036933899,0.03229398652911186,0.7400869727134705
Nicaragua,2022,6.3922576904296875,8.664050102233887,0.8440418243408203,65.7249984741211,0.9139936566352844,-0.0011975866509601474,0.5701919794082642
Kyrgyzstan,2022,5.667840957641602,8.516772270202637,0.9269707798957825,67.375,0.9483615756034851,0.23598241806030273,0.8761541843414307
Netherlands,2022,7.389636039733887,10.980937004089355,0.9289084076881409,71.625,0.8680934906005859,0.2243438959121704,0.4593518078327179
Bolivia,2022,5.928882122039795,9.014473915100098,0.8235102891921997,63.75,0.8650104403495789,-0.08024446666240692,0.840244710445404
Nepal,2022,5.474175930023193,8.28515625,0.7532763481140137,62.125,0.8442217707633972,0.1531936079263687,0.7604077458381653
Namibia,2022,4.948962688446045,9.13161563873291,0.8079589605331421,57.224998474121094,0.6825278997421265,-0.11964953690767288,0.8487291932106018
Thailand,2022,6.00711727142334,9.777226448059082,0.8669951558113098,68.5250015258789,0.8806137442588806,0.3010835349559784,0.8679535388946533
Benin,2022,4.217325687408447,8.13679313659668,0.36568281054496765,56.400001525878906,0.714036762714386,-0.029674673452973366,0.5796189308166504
Botswana,2022,3.435275077819824,9.629345893859863,0.7503992915153503,54.724998474121094,0.7394030690193176,-0.21462056040763855,0.830940306186676
Austria,2022,6.998997211456299,10.93891716003418,0.8762874007225037,71.2750015258789,0.8555026054382324,0.13904209434986115,0.524212121963501
Portugal,2022,5.952542781829834,10.487077713012695,0.8623441457748413,71.375,0.9032180905342102,-0.13706041872501373,0.892955482006073
State of Palestine,2022,4.907760143280029,,0.8596547245979309,,0.6948527097702026,,0.8357949256896973
Afghanistan,2022,1.2812711000442505,,0.2282172292470932,54.875,0.368377149105072,,0.7331978678703308
